"","method","est.period","n.win.sector","Ave.CAGR","std.dev","Sharpe.ratio"
"1","Sector Momentum",1,1,0.642961118891944,2.59469127608175,0.247798697601852
"2","Sector Momentum",1,2,0.337483242954649,1.03880073600453,0.324877747249859
"3","Sector Momentum",1,3,0.298067354136525,0.91732158186564,0.324932237536937
"4","Sector Momentum",1,4,0.307510637286531,1.23999440606311,0.247993568182984
"5","Sector Momentum",1,5,0.288405955291424,1.10242933146467,0.26160947197246
"6","Sector Momentum",1,6,0.273688242935067,1.05588502436696,0.25920269406146
"7","Sector Momentum",1,7,0.270040452598318,0.99120486880064,0.272436567957003
"8","Sector Momentum",1,8,0.247760979645796,0.844189923927356,0.29348961960261
"9","Sector Momentum",1,9,0.237413401798292,0.754971167557795,0.314466845888014
"10","Sector Momentum",1,10,0.24251770351583,0.764431051262916,0.317252554190684
"11","Sector Momentum",1,11,0.252650075282795,0.789039936385515,0.32019935066931
"12","Sector Momentum",1,12,0.253806702421877,0.78747715434861,0.322303575437464
"13","Sector Momentum",1,13,0.246747221764566,0.772282946125057,0.319503652129864
"14","Sector Momentum",1,14,0.240156193506357,0.759738408453686,0.316103794192994
"15","Sector Momentum",1,15,0.225404371894703,0.695044980123561,0.324301848571918
"16","Sector Momentum",1,16,0.222589558461781,0.688928874347587,0.323095121644556
"17","Sector Momentum",1,17,0.224441027635933,0.687801045748665,0.326316787424525
"18","Sector Momentum",1,18,0.218439918474323,0.686905582308722,0.318005740672738
"19","Sector Momentum",1,19,0.223961368942824,0.69782171808995,0.320943534912961
"20","Sector Momentum",1,20,0.224148728559023,0.706154946025846,0.317421452360427
"21","Sector Momentum",1,21,0.222225946258413,0.715251443913572,0.310696256749208
"22","Sector Momentum",1,22,0.219828126522117,0.711518404464354,0.308956346234794
"23","Sector Momentum",1,23,0.221221033721393,0.709693504667567,0.311713482322226
"24","Sector Momentum",2,1,0.202906000435076,0.772294022472577,0.262731543338185
"25","Sector Momentum",2,2,0.142624099364802,0.537935892965873,0.265132149071619
"26","Sector Momentum",2,3,0.152568009929226,0.506611411382342,0.301153915015314
"27","Sector Momentum",2,4,0.160390743760434,0.497391924688691,0.322463505737089
"28","Sector Momentum",2,5,0.146247057597499,0.508971625632814,0.287338331317914
"29","Sector Momentum",2,6,0.144295712353168,0.506780916154693,0.284729964671997
"30","Sector Momentum",2,7,0.142477945327679,0.501533874858711,0.284084390845618
"31","Sector Momentum",2,8,0.158874044040125,0.537773917225104,0.295429062197567
"32","Sector Momentum",2,9,0.161941170330564,0.559232726149036,0.289577420559266
"33","Sector Momentum",2,10,0.16467217389295,0.529530646771704,0.310977607994698
"34","Sector Momentum",2,11,0.16602355277541,0.549460166369658,0.302157577449782
"35","Sector Momentum",2,12,0.152534990410534,0.503529543945062,0.302931560312132
"36","Sector Momentum",2,13,0.148270250784977,0.492630591524993,0.300976539694765
"37","Sector Momentum",2,14,0.145002199006792,0.485392883649966,0.298731612866739
"38","Sector Momentum",2,15,0.145008730792478,0.483401278763301,0.299975894071812
"39","Sector Momentum",2,16,0.142915617638991,0.48623724317198,0.293921577678167
"40","Sector Momentum",2,17,0.142126001716873,0.485855061176393,0.292527572673105
"41","Sector Momentum",2,18,0.145471931091226,0.491867205983356,0.295754482757991
"42","Sector Momentum",2,19,0.144503168521718,0.503160670710399,0.287190905278224
"43","Sector Momentum",2,20,0.145185349455541,0.500863908273513,0.289869856975715
"44","Sector Momentum",2,21,0.153075977336889,0.526950872906759,0.290493830084185
"45","Sector Momentum",2,22,0.151621696996969,0.530828799047274,0.285632010299927
"46","Sector Momentum",2,23,0.150700609944364,0.532215791415988,0.283156968235416
"47","Sector Momentum",3,1,0.213988567340819,0.610932401706009,0.350265539596956
"48","Sector Momentum",3,2,0.139688266395447,0.518771739906111,0.269267301300429
"49","Sector Momentum",3,3,0.138448154434401,0.471312180900606,0.293750427094517
"50","Sector Momentum",3,4,0.141787017453053,0.432929230975663,0.327506223438683
"51","Sector Momentum",3,5,0.143925345690938,0.426556486380214,0.337412160608079
"52","Sector Momentum",3,6,0.127523071485492,0.404904521181081,0.314946030025833
"53","Sector Momentum",3,7,0.126244769699602,0.398029420652394,0.317174467889031
"54","Sector Momentum",3,8,0.12866182808751,0.404288681765192,0.318242468539439
"55","Sector Momentum",3,9,0.136185953863885,0.403843095214986,0.33722491600701
"56","Sector Momentum",3,10,0.133840370398739,0.402242037692454,0.332735909867955
"57","Sector Momentum",3,11,0.135878337261407,0.394435956320593,0.344487704744053
"58","Sector Momentum",3,12,0.133230034246217,0.394371207096754,0.337829009442697
"59","Sector Momentum",3,13,0.128910544759419,0.385675050413315,0.334246523391309
"60","Sector Momentum",3,14,0.127184474610078,0.387467704984678,0.328245355609979
"61","Sector Momentum",3,15,0.115221668220539,0.385460785829044,0.298919299852309
"62","Sector Momentum",3,16,0.112077420594452,0.377542509569541,0.296860400494339
"63","Sector Momentum",3,17,0.11169789682333,0.370675325245134,0.301336207770135
"64","Sector Momentum",3,18,0.109994915741536,0.368171565402085,0.298759942586573
"65","Sector Momentum",3,19,0.109537394283869,0.369966053545889,0.296074175546711
"66","Sector Momentum",3,20,0.111307671096929,0.377458042350119,0.294887533469702
"67","Sector Momentum",3,21,0.110151662061642,0.381334065119383,0.288858699332716
"68","Sector Momentum",3,22,0.108923884923986,0.383319889925018,0.284159230415339
"69","Sector Momentum",3,23,0.105771130594369,0.381029903182943,0.277592728840458
"70","Sector Momentum",4,1,0.127232311243253,0.372289661271135,0.341756230374046
"71","Sector Momentum",4,2,0.0792803665088958,0.313361426519773,0.252999762572542
"72","Sector Momentum",4,3,0.0555185294049942,0.282009553638316,0.196867548239865
"73","Sector Momentum",4,4,0.0551767529857027,0.284709905253237,0.19379990638761
"74","Sector Momentum",4,5,0.0551896456560348,0.281192076801042,0.196270272917698
"75","Sector Momentum",4,6,0.0629574678941087,0.29018857173348,0.216953643343099
"76","Sector Momentum",4,7,0.0665145067243834,0.297645128454412,0.223469159632394
"77","Sector Momentum",4,8,0.0653175591612093,0.295802912345426,0.220814455960915
"78","Sector Momentum",4,9,0.0678988092742066,0.296911885372112,0.228683365736979
"79","Sector Momentum",4,10,0.0714352924397357,0.304916512926213,0.234278202102562
"80","Sector Momentum",4,11,0.0770552469499878,0.311172277392993,0.247628894179
"81","Sector Momentum",4,12,0.0890078856892798,0.312556587083916,0.284773667769103
"82","Sector Momentum",4,13,0.0894233918016284,0.308149103185802,0.290195203805962
